episode,score,average_score,best_score
1,87.73774221082476,87.73774221082476,87.73774221082476
2,93.029750937102,90.38374657396338,90.38374657396338
3,88.05437070093295,89.6072879496199,90.38374657396338
4,174.3261781104211,110.7870104898202,110.7870104898202
5,195.9619435382776,127.82199709951169,127.82199709951169
6,104.48517542336782,123.93252682015437,127.82199709951169
7,77.8340704012024,117.34703304601838,127.82199709951169
8,82.45451461167123,112.98546824172499,127.82199709951169
9,135.2614261118732,115.46057467174144,127.82199709951169
10,244.40463152067338,128.35498035663463,128.35498035663463
11,168.0730701029153,131.9657157881147,131.9657157881147
12,84.18803684623323,127.98424254295792,131.9657157881147
13,152.65235795148286,129.88178988207522,131.9657157881147
14,209.6841481920551,135.58195833278805,135.58195833278805
15,226.89500661320298,141.66949488481572,141.66949488481572
16,93.83607018260038,138.67990584092726,141.66949488481572
17,94.06698685309506,136.05561648870184,141.66949488481572
18,88.87001919365163,133.43419441675462,141.66949488481572
19,115.67556840151572,132.49952988963676,141.66949488481572
20,128.67774330281148,132.3084405602955,141.66949488481572
21,142.00034127298537,132.76995964185215,141.66949488481572
22,117.9627492897849,132.0969046258491,141.66949488481572
23,95.85430923520435,130.52113960886453,141.66949488481572
24,163.93773556749386,131.91349777380745,141.66949488481572
25,106.28180272654697,130.888229971917,141.66949488481572
26,102.8208342138081,129.80871475045132,141.66949488481572
27,88.23690630648649,128.2690181414156,141.66949488481572
28,98.44031853519397,127.20370744119337,141.66949488481572
29,95.07599380055834,126.09585524668873,141.66949488481572
30,83.16635129742764,124.66487178171336,141.66949488481572
31,95.59165407113353,123.72702604911402,141.66949488481572
32,158.57644177792767,124.81607029063942,141.66949488481572
33,101.49454003445932,124.10935725257336,141.66949488481572
34,106.15042061454879,123.58115323380792,141.66949488481572
35,94.2710451425558,122.74372157405786,141.66949488481572
36,128.87081457508827,122.91391860186425,141.66949488481572
37,88.98775241286901,121.99699519135086,141.66949488481572
38,94.46068421479518,121.27235542880992,141.66949488481572
39,121.56510581457053,121.27986184895762,141.66949488481572
40,99.67402947055398,120.73971603949754,141.66949488481572
41,128.9489207086036,120.93994054362207,141.66949488481572
42,78.42970815820654,119.92779215349313,141.66949488481572
43,120.83581599448931,119.94890898700466,141.66949488481572
44,108.73830433235672,119.69412251758085,141.66949488481572
45,83.79727277476638,118.89641474551831,141.66949488481572
46,145.62857111494307,119.47754857963623,141.66949488481572
47,167.19388869574354,120.49278985870234,141.66949488481572
48,111.52866718458088,120.30603730299151,141.66949488481572
49,90.09293631144378,119.68944340520483,141.66949488481572
50,108.71556065915651,119.46996575028386,141.66949488481572
51,95.84056738179754,119.00664421364688,141.66949488481572
52,83.01766303713833,118.31454842179095,141.66949488481572
53,90.35379608938739,117.78698705702861,141.66949488481572
54,148.8973753505982,118.36310535876137,141.66949488481572
55,95.61469045513685,117.94949781505912,141.66949488481572
56,84.00889511203228,117.34341562393362,141.66949488481572
57,78.08793951206118,116.65472306056743,141.66949488481572
58,107.11167626166294,116.49018777093114,141.66949488481572
59,89.87585196554062,116.03909733355164,141.66949488481572
60,152.454699662354,116.64602403903169,141.66949488481572
61,78.36818617244336,116.01851850023516,141.66949488481572
62,95.41298042842426,115.68617111198013,141.66949488481572
63,89.84045588766782,115.27592166397518,141.66949488481572
64,128.4419720110295,115.48164120064791,141.66949488481572
65,105.46791814030416,115.32758392279648,141.66949488481572
66,128.59480583487797,115.52860243661588,141.66949488481572
67,88.35330865536874,115.12300103689579,141.66949488481572
68,105.38897639672301,114.97985361571676,141.66949488481572
69,114.45790248464586,114.97228910657081,141.66949488481572
